id_bigger,id_smaller,num_modif_sites,diff_formula,weight_bigger,weight_smaller,difference,adduct,msmassanalyzer
CCMSLIB00000847333,CCMSLIB00000848557,1,O1,595.165,579.171,15.993999999999915,[M+H]1+,qtof
CCMSLIB00005721178,CCMSLIB00000848557,1,O1,595.167,579.171,15.995999999999981,[M+H]1+,qtof
CCMSLIB00000848308,CCMSLIB00000848562,1,C5H8O1,369.169,285.112,84.05699999999996,[M+H]1+,qtof
CCMSLIB00000848735,CCMSLIB00000848562,1,C5H10O2,387.18,285.112,102.06799999999998,[M+H]1+,qtof
CCMSLIB00000848977,CCMSLIB00000848562,1,C5H8,353.174,285.112,68.06199999999995,[M+H]1+,qtof
CCMSLIB00000845158,CCMSLIB00000848573,1,O1,595.165,579.171,15.993999999999915,[M+H]1+,qtof
CCMSLIB00000848252,CCMSLIB00000848573,1,C1H2O1,609.181,579.171,30.00999999999999,[M+H]1+,qtof
CCMSLIB00000848461,CCMSLIB00000848573,1,O1,595.165,579.171,15.993999999999915,[M+H]1+,qtof
CCMSLIB00000855216,CCMSLIB00000848576,1,O1,281.138,265.143,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000850036,CCMSLIB00000848585,1,O1,405.139,389.144,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000852883,CCMSLIB00000848585,1,O1,405.139,389.144,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000846563,CCMSLIB00000848596,1,C2H2O1,795.437,753.426,42.01099999999997,[M+H]1+,qtof
CCMSLIB00000845138,CCMSLIB00000848601,1,O1,449.108,433.113,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000845378,CCMSLIB00000848601,1,C6H10O5,595.165,433.113,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000847333,CCMSLIB00000848601,1,C6H10O5,595.165,433.113,162.05199999999996,[M+H]1+,qtof
CCMSLIB00000847467,CCMSLIB00000848601,1,C5H8O4,565.155,433.113,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000847491,CCMSLIB00000848601,1,C5H8O4,565.155,433.113,132.04199999999997,[M+H]1+,qtof
CCMSLIB00000848234,CCMSLIB00000848601,1,C6H10O4,579.171,433.113,146.05800000000005,[M+H]1+,qtof
CCMSLIB00000848557,CCMSLIB00000848601,1,C6H10O4,579.171,433.113,146.05800000000005,[M+H]1+,qtof
CCMSLIB00005721178,CCMSLIB00000848601,1,C6H10O5,595.167,433.113,162.05400000000003,[M+H]1+,qtof
CCMSLIB00000847437,CCMSLIB00000848606,1,O1,315.086,299.091,15.995000000000005,[M+H]1+,qtof
CCMSLIB00000847684,CCMSLIB00000848621,1,C2H2O1,799.229,757.218,42.01100000000008,[M+H]1+,qtof
CCMSLIB00000848349,CCMSLIB00000848621,1,C9H6O2,903.255,757.218,146.03700000000003,[M+H]1+,qtof
